Timestamp,Action,Wallet,Token,Amount (SOL),Reason
2025-02-17T13:55:54.233Z,Buy Detected,GtweR7fMoKs5pQ453PfSQwgK27DH4wepfDCoX5WmqTfL,oSHVJX5BoJnSNErxWjDeNyKGcD8x4PSebMarEJFpump,0.00907928,
2025-02-17T15:54:00.174Z,Buy Detected,GtweR7fMoKs5pQ453PfSQwgK27DH4wepfDCoX5WmqTfL,oSHVJX5BoJnSNErxWjDeNyKGcD8x4PSebMarEJFpump,0.00704,
2025-02-17T16:01:41.572Z,Buy Detected,GtweR7fMoKs5pQ453PfSQwgK27DH4wepfDCoX5WmqTfL,oSHVJX5BoJnSNErxWjDeNyKGcD8x4PSebMarEJFpump,0.00704,
2025-02-17T16:06:21.068Z,Buy Detected,GtweR7fMoKs5pQ453PfSQwgK27DH4wepfDCoX5WmqTfL,oSHVJX5BoJnSNErxWjDeNyKGcD8x4PSebMarEJFpump,0.00704,
2025-02-17T16:06:26.001Z,Buy Detected,GtweR7fMoKs5pQ453PfSQwgK27DH4wepfDCoX5WmqTfL,oSHVJX5BoJnSNErxWjDeNyKGcD8x4PSebMarEJFpump,0.00704,
2025-02-17T16:31:15.532Z,Buy Detected,GtweR7fMoKs5pQ453PfSQwgK27DH4wepfDCoX5WmqTfL,oSHVJX5BoJnSNErxWjDeNyKGcD8x4PSebMarEJFpump,0.007041,
2025-02-17T16:31:20.433Z,Buy Detected,GtweR7fMoKs5pQ453PfSQwgK27DH4wepfDCoX5WmqTfL,oSHVJX5BoJnSNErxWjDeNyKGcD8x4PSebMarEJFpump,0.007041,
2025-02-17T16:45:39.072Z,Buy Detected,GtweR7fMoKs5pQ453PfSQwgK27DH4wepfDCoX5WmqTfL,oSHVJX5BoJnSNErxWjDeNyKGcD8x4PSebMarEJFpump,0.007041,
2025-02-17T16:45:43.145Z,Buy Detected,GtweR7fMoKs5pQ453PfSQwgK27DH4wepfDCoX5WmqTfL,oSHVJX5BoJnSNErxWjDeNyKGcD8x4PSebMarEJFpump,0.007041,
2025-02-17T22:02:47.822Z,Buy Detected,GtweR7fMoKs5pQ453PfSQwgK27DH4wepfDCoX5WmqTfL,3z7AY3g9pcjqnHdjpjQwawKGsUz6x9rLeVSAJ5xGpump,0,
2025-02-17T22:07:47.443Z,Buy Detected,GtweR7fMoKs5pQ453PfSQwgK27DH4wepfDCoX5WmqTfL,uogFxqx5SPdL7CMWTTttz4KZ2WctR4RjgZwmGcwpump,0,
